site,filename,n_channels,duration_hrs,sfreq_main
I0006,sub-I0006179001947_ses-1.edf,24,7.22,200.0
I0006,sub-I0006179002204_ses-1.edf,24,7.39,200.0
I0006,sub-I0006179002258_ses-1.edf,24,6.32,200.0
I0006,sub-I0006179002364_ses-1.edf,24,6.37,200.0
I0006,sub-I0006179002727_ses-1.edf,24,7.62,200.0
I0006,sub-I0006179002767_ses-1.edf,24,6.69,200.0
I0006,sub-I0006179002784_ses-1.edf,24,7.25,200.0
I0006,sub-I0006179003302_ses-1.edf,24,8.28,200.0
I0006,sub-I0006179003757_ses-1.edf,24,7.74,200.0
I0006,sub-I0006179003986_ses-1.edf,24,7.75,200.0
I0006,sub-I0006179004099_ses-1.edf,24,6.4,200.0
I0006,sub-I0006179004150_ses-1.edf,24,7.81,200.0
I0006,sub-I0006179004229_ses-1.edf,24,7.14,200.0
I0006,sub-I0006179004256_ses-1.edf,24,8.43,200.0
I0006,sub-I0006179004285_ses-1.edf,24,10.81,200.0
I0006,sub-I0006179004391_ses-1.edf,24,7.44,200.0
S0001,sub-S0001111197789_ses-2.edf,18,7.22,200.0
S0001,sub-S0001111229643_ses-1.edf,19,7.81,200.0
S0001,sub-S0001111240395_ses-1.edf,19,8.22,200.0
S0001,sub-S0001111243686_ses-2.edf,29,7.78,512.0
S0001,sub-S0001111247115_ses-1.edf,18,8.47,200.0
S0001,sub-S0001111293150_ses-1.edf,19,7.88,200.0
S0001,sub-S0001111303895_ses-1.edf,17,6.89,200.0
S0001,sub-S0001111326628_ses-2.edf,19,7.89,200.0
S0001,sub-S0001111347423_ses-1.edf,19,8.93,200.0
S0001,sub-S0001111368298_ses-1.edf,19,7.2,200.0
S0001,sub-S0001111372414_ses-1.edf,19,8.46,200.0
S0001,sub-S0001111388710_ses-2.edf,17,7.92,200.0
S0001,sub-S0001111397193_ses-1.edf,17,8.35,200.0
S0001,sub-S0001111407087_ses-1.edf,19,8.12,200.0
S0001,sub-S0001111433035_ses-1.edf,18,8.79,200.0
S0001,sub-S0001111488224_ses-1.edf,17,8.3,200.0
S0001,sub-S0001111491855_ses-1.edf,17,7.05,200.0
S0001,sub-S0001111544884_ses-1.edf,17,6.52,200.0
S0001,sub-S0001111598838_ses-1.edf,16,7.01,200.0
S0001,sub-S0001111607694_ses-1.edf,19,6.82,200.0
S0001,sub-S0001111614628_ses-1.edf,18,6.41,200.0
S0001,sub-S0001111618995_ses-1.edf,17,8.71,200.0
S0001,sub-S0001111623207_ses-1.edf,18,7.77,200.0
S0001,sub-S0001111658506_ses-1.edf,19,7.69,200.0
S0001,sub-S0001111685738_ses-1.edf,19,6.32,200.0
S0001,sub-S0001111718213_ses-1.edf,18,7.47,200.0
S0001,sub-S0001111800501_ses-1.edf,19,8.51,200.0
S0001,sub-S0001111812180_ses-1.edf,19,8.91,200.0
S0001,sub-S0001111816140_ses-1.edf,11,8.21,200.0
S0001,sub-S0001111820022_ses-1.edf,19,7.35,200.0
